ms startup,boogie gps time,data type,boogie gps lat,boogie gps lon,boogie gps alt,boogie gps speed,boogie gps course,boogie gps hdop,boogie gps sats,remote gps lat,remote gps lon,remote gps speed,remote gps course,remote gps numsat, remote gps hdop,remote throttle,throttle,throttle scaled,input voltage,current in,temp mos,current motor,erpm,duty cycle,amp hours used,vesc errors,nav mode,follow bearing,bearing target,rudder target sp,rudder current pos,actuatorFwdOut,actuatorRevOut,target_distance,followSpeedLimit,turnSpeedLimit,target lat,target lon, target bearing,imuRoll,imuPitch,imuTemp,xa,ya,za,total distance,distance to remote,sht30_temperature,sht30_humidity
2214,1970-01-01T00:00:02.215,parameter,Created parameter 'Auto Rudder Limit Right' with saved value: 100 min: 0 max: 100
2228,1970-01-01T00:00:02.230,parameter,Created parameter 'Auto Rudder Limit Left' with saved value: 100 min: 0 max: 100
2235,1970-01-01T00:00:02.237,parameter,Created parameter 'Auto Turn Speed Lim' with saved value: 20 min: 0 max: 100
2245,1970-01-01T00:00:02.247,parameter,Created parameter 'Auto Rudder P(gain)' with saved value: 20 min: 1 max: 50
2251,1970-01-01T00:00:02.253,parameter,Created parameter 'TEST turn spd err min' with saved value: 80 min: 0 max: 50
2260,1970-01-01T00:00:02.262,parameter,Created parameter 'Manual Rudder Position' with saved value: 90 min: 0 max: 100
2266,1970-01-01T00:00:02.268,parameter,Created parameter 'Manual Rudder Offset' with saved value: 0 min: -30 max: 30
2272,1970-01-01T00:00:02.273,parameter,Created parameter 'Rudder Control Deadband' with saved value: 5 min: 0 max: 40
2280,1970-01-01T00:00:02.281,parameter,Created parameter 'Rudder Min Speed' with saved value: 150 min: 0 max: 255
2286,1970-01-01T00:00:02.287,parameter,Created parameter 'Auto Follow Ahead Distance' with saved value: 10 min: 0 max: 50
2292,1970-01-01T00:00:02.293,parameter,Created parameter 'Auto Follow Behind Distance' with saved value: 10 min: 0 max: 50
2299,1970-01-01T00:00:02.301,parameter,Created parameter 'Auto Follow Offset' with saved value: 10 min: 0 max: 50
2307,1970-01-01T00:00:02.309,parameter,Created parameter 'Battery Calibration' with saved value: 5 min: -20 max: 20
2313,1970-01-01T00:00:02.315,parameter,Created parameter 'Auto Rudder Offset' with saved value: 0 min: -30 max: 30
2319,1970-01-01T00:00:02.321,parameter,Created parameter 'Auto Turn Error Ramp' with saved value: 25 min: 0 max: 90
2325,1970-01-01T00:00:02.327,parameter,Created parameter 'Ramp Up Time' with saved value: 1200 min: 0 max: 3000
2331,1970-01-01T00:00:02.333,parameter,Created parameter 'Ramp Down Time' with saved value: 500 min: 0 max: 3000
2339,1970-01-01T00:00:02.341,parameter,Created parameter 'PosHold Min Speed' with saved value: 8 min: 0 max: 50
2346,1970-01-01T00:00:02.347,parameter,Created parameter 'PosHold Max Speed' with saved value: 9 min: 0 max: 100
2352,1970-01-01T00:00:02.353,parameter,Created parameter 'PosHold Drift Radius' with saved value: 20 min: 0 max: 50
2358,1970-01-01T00:00:02.359,parameter,Created parameter 'Vesc Current Limit Amps' with saved value: 100 min: 80 max: 180
2366,1970-01-01T00:00:02.367,parameter,Created parameter 'SoftS Min Power' with saved value: 40 min: 0 max: 100
2372,1970-01-01T00:00:02.373,parameter,Created parameter 'SoftS Ramp Min' with saved value: 13 min: 0 max: 30
2378,1970-01-01T00:00:02.379,parameter,Created parameter 'SoftS Ramp Max' with saved value: 20 min: 0 max: 30
2384,1970-01-01T00:00:02.385,parameter,Created parameter 'Idle Start Power' with saved value: 15 min: 0 max: 30
2390,1970-01-01T00:00:02.391,parameter,Created parameter 'Auto Min Speed' with saved value: 15 min: 0 max: 25
2399,1970-01-01T00:00:02.400,parameter,Created parameter 'Auto Max Speed' with saved value: 100 min: 0 max: 100
2405,1970-01-01T00:00:02.406,parameter,Created parameter 'Rudder Launch Offset (left)' with saved value: 15 min: 0 max: 30
2411,1970-01-01T00:00:02.412,parameter,Created parameter 'Summon>Man Spd Limit' with saved value: 20 min: 0 max: 30
2417,1970-01-01T00:00:02.418,parameter,Created parameter 'Options' with saved value: 168 min: 0 max: 32
2476,1970-01-01T00:00:02.477,data_all,0.0000000,0.0000000,0.00,0.00,0.00,0.00,0,0.0000000,0.0000000,0.00,0.00,0,0.0,0.0,1419263549,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,-9722147243247262564356973303693312.00,0.00,87,0,0.0,0.0,-1877931932,3609403941691821791,3913787946,2759002943,-0.0,100,100,0.0000000,0.0000000,0.00,-3.3,-3.8,1.6,0.6,-0.7,10.2,0.00,0.00,0.00,0.00
5201,1970-01-01T00:00:05.203,debug,VESC Throttle Update timeout, set to 0
62675,2026-02-09T21:15:56.991,data_all,39.2873347,-74.5528365,6.80,0.15,96.26,1.73,12,0.0000000,0.0000000,0.00,0.00,0,0.0,0.0,127,0.00,57.50,0.00,-0.70,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,199,0,0,-0.0,100,100,0.0000000,0.0000000,0.00,13.1,-23.8,3.0,-2.3,-4.0,9.0,1.31,0.00,0.00,0.00
110625,2026-02-09T21:16:44.941,parameter,Parameter 'TEST turn spd err min' updated with value: 2
111349,2026-02-09T21:16:45.665,parameter,Parameter 'PosHold Min Speed' updated with value: 9
111508,2026-02-09T21:16:45.824,parameter,Parameter 'Options' updated with value: 504
